"concept","broader","enLabel","deLabel"
"http://data.europa.eu/8mn/euroscivoc/09a71723-9801-4f1d-82da-324d219a4cdb","http://data.europa.eu/8mn/euroscivoc/ec37d18c-7447-40c3-aa37-51384d0b3584","hepatitis B","Hepatitis B"
"http://data.europa.eu/8mn/euroscivoc/09ad2d72-7da8-48dc-ae31-0b6b15bc1dc6","http://data.europa.eu/8mn/euroscivoc/f2a75729-1f21-4b2d-8c7d-bc7af02e71f7","atmospheric circulation","atmosphärische Zirkulation"
"http://data.europa.eu/8mn/euroscivoc/0a1f65d3-ff59-400c-9411-589f14b7d5f1","http://data.europa.eu/8mn/euroscivoc/3de50dee-da1c-4791-a386-56bca24a5fed","posttraumatic stress disorder","posttraumatische Belastungsstörung"
"http://data.europa.eu/8mn/euroscivoc/0ad73f36-1d96-4f3a-9e9c-721382a2ff1f","http://data.europa.eu/8mn/euroscivoc/0c67e976-ff93-4ca9-8ec7-ac06876e3e41","fluorescence lifetime imaging","Fluoreszenzlebensdauer-Bildgebung"
"http://data.europa.eu/8mn/euroscivoc/0adb1597-9fb5-43ec-81ba-09af6670352d","http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1","biodiversity conservation","Erhalt der biologischen Vielfalt"
"http://data.europa.eu/8mn/euroscivoc/0b064a78-a2af-4fc9-b417-0982bdab9d69","http://data.europa.eu/8mn/euroscivoc/8a64da82-b46e-4940-b896-bfc79ad3f6f8","biostratigraphy","Biostratigraphie"
"http://data.europa.eu/8mn/euroscivoc/0b3acff8-05e8-448e-ba5e-db6fee0e6d32","http://data.europa.eu/8mn/euroscivoc/8d3657d8-563a-47fb-a5c2-5592b08365b5","journalism","Journalismus"
"http://data.europa.eu/8mn/euroscivoc/0b516ce2-ea6c-4ae4-b742-a8a3623e8c81","http://data.europa.eu/8mn/euroscivoc/0c67e976-ff93-4ca9-8ec7-ac06876e3e41","super resolution microscopy","hochauflösende Mikroskopie"
"http://data.europa.eu/8mn/euroscivoc/0b5b841c-e4a3-4179-9c06-166041fd4254","http://data.europa.eu/8mn/euroscivoc/dc9a4100-9eb3-4956-8fd8-b67ea07a70ad","synthetic dyes","synthetische Farbstoffe"
"http://data.europa.eu/8mn/euroscivoc/0b631aca-6a6b-41ec-af74-3b4a53864a6c","http://data.europa.eu/8mn/euroscivoc/fc6fade5-a32d-484a-b439-6a49971f1596","post-colonial theories","postkoloniale Theorien"
"http://data.europa.eu/8mn/euroscivoc/0b7ef923-ea48-47bd-a5f1-2c5b18f53d20","http://data.europa.eu/8mn/euroscivoc/76da466d-e78f-44b0-990a-db42f87b9454","archaeometry","Archäometrie"
"http://data.europa.eu/8mn/euroscivoc/0b94b07d-b3bc-4b89-9d2a-5815d4fadb83","http://data.europa.eu/8mn/euroscivoc/4df60e5a-a143-45d2-b1a6-c2dcb31d977a","fisheries","Fischerei"
"http://data.europa.eu/8mn/euroscivoc/0bccc6b0-7563-4056-aff7-5436488dc37e","http://data.europa.eu/8mn/euroscivoc/26770c2b-64ce-4611-896f-cdefb4893317","water engineering","Wasserbau"
"http://data.europa.eu/8mn/euroscivoc/0bd504f3-6633-49aa-973b-cbed464fb259","http://data.europa.eu/8mn/euroscivoc/c4128628-2048-41ab-b3a8-e0c45a3be10d","foreign policy","Außenpolitik"
"http://data.europa.eu/8mn/euroscivoc/0bf709d0-834b-4448-a89c-7fb04cece64a","http://data.europa.eu/8mn/euroscivoc/12c980a5-034f-4cd5-8ce7-fcfe109c675c","other social sciences","Sonstige Sozialwissenschaften"
"http://data.europa.eu/8mn/euroscivoc/0c67e976-ff93-4ca9-8ec7-ac06876e3e41","http://data.europa.eu/8mn/euroscivoc/f3cb3d46-1a4f-4c29-9e80-46a854f53382","microscopy","Mikroskopie"
"http://data.europa.eu/8mn/euroscivoc/0c6b84cc-3887-4838-b7a3-4c799c1bee52","http://data.europa.eu/8mn/euroscivoc/42d56c99-ce08-429f-9751-4f711910a804","radio astronomy","Radioastronomie"
"http://data.europa.eu/8mn/euroscivoc/0cb1d432-f934-49dc-bab4-22b6ce4b1327","http://data.europa.eu/8mn/euroscivoc/582a0b32-79e8-4b30-abf9-c7b6a6708683","bioartificial liver","bioartifizielle Leber"
"http://data.europa.eu/8mn/euroscivoc/0cd8fe36-dfc3-43cd-882a-5dade629fe25","http://data.europa.eu/8mn/euroscivoc/380ec7da-dd0e-49e8-9914-ca5c72a5c2de","computer hardware","Hardware"
"http://data.europa.eu/8mn/euroscivoc/0d082a10-ed95-4992-9df1-b4f4b301edfa","http://data.europa.eu/8mn/euroscivoc/739766f0-539e-4fba-8144-9249bb38719a","nanoelectronics","Nanoelektronik"
"http://data.europa.eu/8mn/euroscivoc/0d3c1001-9a67-4245-bc15-2aef8b239df1","http://data.europa.eu/8mn/euroscivoc/14e75836-6f05-46f9-9c82-ca12468b0452","nuclear engineering","Kerntechnik"
"http://data.europa.eu/8mn/euroscivoc/0d45044a-74d5-4bd7-b920-b92af3388576","http://data.europa.eu/8mn/euroscivoc/a348fcd2-3bdd-46f9-aa2c-a91301f1e12e","internal medicine","innere Medizin"
"http://data.europa.eu/8mn/euroscivoc/0d96e774-3021-4d1d-a870-2d36b9392f4a","http://data.europa.eu/8mn/euroscivoc/08c42eeb-abe1-44ee-bf30-a29f39897f40","optical networks","optisches Netz"
"http://data.europa.eu/8mn/euroscivoc/0ddc0516-dd57-458a-9c1f-c1523dcce3bc","http://data.europa.eu/8mn/euroscivoc/ba7388fc-bbe6-4020-b086-8dd2a520541c","flood risk management","Hochwasserrisikomanagement"
"http://data.europa.eu/8mn/euroscivoc/0e362272-f233-4787-bfb1-1917f4c7c43a","http://data.europa.eu/8mn/euroscivoc/10352c4c-328e-4dac-a89c-44b6be1420e9","biochemical engineering","Bioverfahrenstechnik"
"http://data.europa.eu/8mn/euroscivoc/0e418e64-f616-451c-8c10-9b149724b841","http://data.europa.eu/8mn/euroscivoc/4c8f4b46-6f5c-41d9-9079-7de85c16431d","computational creativity","computerbasierte Kreativität"
"http://data.europa.eu/8mn/euroscivoc/0f7327f0-f241-40a5-9728-5ed61a7ef5d3","http://data.europa.eu/8mn/euroscivoc/5c66325e-b247-4e52-92ec-544ae4d061cc","psycholinguistics","Psycholinguistik"
"http://data.europa.eu/8mn/euroscivoc/0f8ac241-4880-48e2-a33e-90a852485606","http://data.europa.eu/8mn/euroscivoc/74f1f6d9-2480-440a-a168-82967a9677ef","celestial mechanics","Himmelsmechanik"
"http://data.europa.eu/8mn/euroscivoc/0fce4b31-70e0-42f1-b844-5f7f0ce74914","http://data.europa.eu/8mn/euroscivoc/d3b09b78-ac5c-4fc3-b58a-9573daf0e304","thermodynamics","Thermodynamik"
"http://data.europa.eu/8mn/euroscivoc/0fdc9c2b-f474-411f-be90-cd7a9bb7fce9","http://data.europa.eu/8mn/euroscivoc/188c4e44-9851-4a16-a960-85423574f287","reverse osmosis","Umkehrosmose"
"http://data.europa.eu/8mn/euroscivoc/10352c4c-328e-4dac-a89c-44b6be1420e9","http://data.europa.eu/8mn/euroscivoc/64605fff-1946-4fd4-b021-e2e83b71dcac","chemical engineering","Chemieingenieurwesen"
"http://data.europa.eu/8mn/euroscivoc/104cfd93-5bc8-40a5-b878-bb46ad83f856","http://data.europa.eu/8mn/euroscivoc/c4a6d777-1ac8-4d94-b30c-b1a8dbfd95e0","civil society organisations","Organisationen der Zivilgesellschaft"
"http://data.europa.eu/8mn/euroscivoc/1076b605-d9f3-4961-8dbe-dc9abc72b42b","http://data.europa.eu/8mn/euroscivoc/527ab165-56f2-4020-8975-e7cd3f21d01d","unsupervised learning","unüberwachtes Lernen"
"http://data.europa.eu/8mn/euroscivoc/110fd131-cade-4ced-af28-a67791353e54","http://data.europa.eu/8mn/euroscivoc/e27cd9b6-055c-480d-8d63-e2d366ca94d7","production economics","Produktionswirtschaft"
"http://data.europa.eu/8mn/euroscivoc/1198b23a-f82f-4189-8778-d9a742430a0f","http://data.europa.eu/8mn/euroscivoc/8f88c01b-6255-42c7-af87-1dda2ae9af1a","telecommunications","Telekommunikation"
"http://data.europa.eu/8mn/euroscivoc/119b0e70-ed46-44ae-97e9-fe00411af08c","http://data.europa.eu/8mn/euroscivoc/b078d965-cd9f-438b-888e-a86a2137ca10","data exchange","Datenaustausch"
