"kind","code","name","parent"
"field","330104","Architectural history, theory and criticism","3301"
"field","330105","Architectural science and technology","3301"
"field","330106","Architecture for disaster relief","3301"
"field","330107","Architecture management","3301"
"field","330108","Interior design","3301"
"field","330109","Landscape architecture","3301"
"field","330110","Sustainable architecture","3301"
"field","330199","Architecture not elsewhere classified","3301"
"field","330201","Automation and technology in building and construction","3302"
"field","330202","Building construction management and project planning","3302"
"field","330203","Building industry studies","3302"
"field","330204","Building information modelling and management","3302"
"field","330205","Building organisational studies","3302"
"field","330206","Building science, technologies and systems","3302"
"field","330207","Quantity surveying","3302"
"field","330299","Building not elsewhere classified","3302"
"field","330301","Data visualisation and computational (incl. parametric and generative) design","3303"
"field","330302","Design anthropology","3303"
"field","330303","Design for disaster relief","3303"
"field","330304","Design history, theory and criticism","3303"
"field","330305","Design management","3303"
"field","330306","Design practice and methods","3303"
"field","330307","Ergonomics design","3303"
"field","330308","Fire safety design","3303"
"field","330309","Industrial and product design","3303"
"field","330310","Interaction and experience design","3303"
"field","330311","Models and simulations of design","3303"
"field","330312","Service design","3303"
"field","330313","Social design","3303"
"field","330314","Sustainable design","3303"
"field","330315","Textile and fashion design","3303"
"field","330316","Visual communication design (incl. graphic design)","3303"
"field","330399","Design not elsewhere classified","3303"
"field","330401","Community planning","3304"
"field","330402","History and theory of the built environment (excl. architecture)","3304"
"field","330403","Housing markets, development and management","3304"
"field","330404","Land use and environmental planning","3304"
"field","330405","Public participation and community engagement","3304"
"field","330406","Regional analysis and development","3304"
"field","330407","Regulatory planning and development assessment","3304"
"field","330408","Strategic, metropolitan and regional planning","3304"
"field","330409","Transport planning","3304"
"field","330410","Urban analysis and development","3304"
"field","330411","Urban design","3304"
"field","330412","Urban informatics","3304"
"field","330413","Urban planning and health","3304"
"field","330499","Urban and regional planning not elsewhere classified","3304"
"field","339999","Other built environment and design not elsewhere classified","3399"
"field","340101","Analytical spectrometry","3401"
"field","340102","Bioassays","3401"
"field","340103","Electroanalytical chemistry","3401"
"field","340104","Flow analysis","3401"
"field","340105","Instrumental methods (excl. immunological and bioassay methods)","3401"
"field","340106","Metabolomic chemistry","3401"
"field","340107","Quality assurance, chemometrics, traceability and metrological chemistry","3401"
"field","340108","Sensor technology (incl. chemical aspects)","3401"
"field","340109","Separation science","3401"
"field","340199","Analytical chemistry not elsewhere classified","3401"
"field","340201","Bioinorganic chemistry","3402"
"field","340202","Crystallography","3402"
"field","340203","F-block chemistry","3402"
"field","340204","Inorganic green chemistry","3402"
"field","340205","Main group metal chemistry","3402"
"field","340206","Metal cluster chemistry","3402"
"field","340207","Metal organic frameworks","3402"
"field","340208","Non-metal chemistry","3402"
"field","340209","Organometallic chemistry","3402"
"field","340210","Solid state chemistry","3402"
"field","340211","Transition metal chemistry","3402"
"field","340299","Inorganic chemistry not elsewhere classified","3402"
"field","340301","Inorganic materials (incl. nanomaterials)","3403"
"field","340302","Macromolecular materials","3403"
"field","340303","Nanochemistry","3403"
"field","340304","Optical properties of materials","3403"
"field","340305","Physical properties of materials","3403"
"field","340306","Polymerisation mechanisms","3403"
"field","340307","Structure and dynamics of materials","3403"
"field","340308","Supramolecular chemistry","3403"
"field","340309","Theory and design of materials","3403"
"field","340399","Macromolecular and materials chemistry not elsewhere classified","3403"
"field","340401","Biologically active molecules","3404"
"field","340402","Biomolecular modelling and design","3404"
"field","340403","Characterisation of biological macromolecules","3404"
"field","340404","Cheminformatics and quantitative structure-activity relationships","3404"
"field","340405","Glycoconjugates","3404"
"field","340406","Molecular medicine","3404"
"field","340407","Proteins and peptides","3404"
"field","340499","Medicinal and biomolecular chemistry not elsewhere classified","3404"
"field","340501","Free radical chemistry","3405"
"field","340502","Natural products and bioactive compounds","3405"
"field","340503","Organic chemical synthesis","3405"
"field","340504","Organic green chemistry","3405"
"field","340505","Physical organic chemistry","3405"
"field","340599","Organic chemistry not elsewhere classified","3405"
"field","340601","Catalysis and mechanisms of reactions","3406"
"field","340602","Chemical thermodynamics and energetics","3406"
"field","340603","Colloid and surface chemistry","3406"
"field","340604","Electrochemistry","3406"
"field","340605","Molecular imaging (incl. electron microscopy and neutron diffraction)","3406"
"field","340606","Photochemistry","3406"
"field","340607","Reaction kinetics and dynamics","3406"
"field","340608","Solution chemistry","3406"
"field","340609","Transport properties and non-equilibrium processes","3406"
"field","340699","Physical chemistry not elsewhere classified","3406"
"field","340701","Computational chemistry","3407"
